"region (S)","id (S)","channel (N)","channelTitle (S)","createdAt (N)","durationMins (N)","end (N)","expires (N)","live (BOOL)","mainCategory (S)","programmingId (S)","repeat (BOOL)","start (N)","title (S)","updatedAt (N)","channelCategories (SS)","description (S)","subcategories (SS)","episodeTitle (S)","channelMinor (N)"
"cincinnati","8b054253-cdc9-5551-96b0-28d5daee9f59","614","INFO","1572718076574","1260","1572764400000","1572766200","false","TV","P0001636112_1","false","1572688800000","Important Information about ESPN Classic","1572718076575",,,"{ ""Special"" } ",,
"cincinnati","8f10090f-899d-57d0-8d42-e4bb8ef56c96","661","FSCIN","1572707277024","60","1572717600000","1572719400","false","Sports","SH033223130000","true","1572714000000","Kentucky Basketball Season Preview '19","1572707277024","{ ""Sports Channels"" } ",,"{ ""Basketball"" } ",,"1"
"cincinnati","e55de67e-0340-58e4-82d5-f1e6fd1e6af9","219","FS1HD","1572714477047","120","1572723000000","1572724800","true","Sports","EP007685453171","false","1572715800000","Bundesliga Soccer","1572714477047","{ ""HDTV Channels"", ""Sports Channels"" } ","1. FC Union Berlin plays Hertha BSC at Stadion An der Alten Försterei in Bundesliga matchround 10. Hertha's most recent league away fixture versus Union was a 2-1 victory in 2. Bundesliga on Sept. 3, 2012. Ronny scored the winning goal in that match.","{ ""Soccer"" } ","1. FC Union Berlin vs. Hertha BSC Berlin",
"cincinnati","c1eff2dd-da74-5ba2-9293-68aceb30265d","614","ECL","1572707277003","120","1572717600000","1572719400","false","Sports","EP007941960716","true","1572710400000","1985 World Series, Game 6: St. Louis Cardinals @ Royals","1572707277004","{ ""Sports Channels"" } ","A controversial call at first base by umpire Don Denkinger on Royals' leadoff man Jorge Orta turns the Series around and forces a game 7. From Oct. 26, 1985.","{ ""Baseball"" } ","1985 World Series, Game 6: St. Louis Cardinals at Kansas City Royals",
"cincinnati","9e081a83-8e05-5839-babe-bc813e8538f0","606","OUTHD","1572718076574","30","1572730200000","1572732000","false","Sports","EP001005530233","true","1572728400000","Under Wild Skies","1572718076575","{ ""Entertainment & Music Channels"", ""HDTV Channels"" } ","A look at the variety you'll find on the African continent -- from punishing heat and endless sand dunes to the swamps of the Okavango.","{ ""Hunting"" } ","Safari Variety",
"cincinnati","27eb9b73-e022-5c0c-9445-1f612eab977b","5","NBC","1572718076536","210","1572732000000","1572733800","true","Sports","EP029941832465","false","1572719400000","Virginia Tech @ Notre Dame","1572718076537","{ ""HDTV Channels"", ""Local Channels"" } ","A pair of 5-2 programs battle as the No. 16 Fighting Irish welcome the Hokies to Indiana. Virginia Tech kept its winning streak alive with a 43-41 sextuple-overtime win against North Carolina on Oct. 19. Notre Dame dumped Virginia Tech 45-23 in 2018.","{ ""Football"" } ","Virginia Tech at Notre Dame",
"cincinnati","fb8d2157-da7f-5e69-af7d-6cd337c2c287","606","OUTHD","1572710876618","60","1572721200000","1572723000","false","Sports","EP015291270053","true","1572717600000","Wicked Tuna","1572710876619","{ ""Entertainment & Music Channels"", ""HDTV Channels"" } ","A sudden storm engulfs the fleet in week five; captains must decide the risk of staying out on the water in hopes of catching more bluefin tuna.","{ ""Fishing"", ""Water Sports"" } ","Go Hard or Go Home",
"cincinnati","7862cc9e-9f41-58da-a1d5-e7055da2004a","612","ACCNHD","1572714477047","60","1572724800000","1572726600","true","Sports","SH032803500000","false","1572721200000","The Huddle","1572714477048","{ ""HDTV Channels"", ""Sports Channels"" } ","ACC Network's signature football show previews the weekend's slate of football games with host Jac Collinsworth and analysts Eric Mac Lain, EJ Manuel and Mark Richt.","{ ""Football"" } ",,
"cincinnati","43d0b6d1-b79b-51d0-a366-43e222ef05ab","12","CBS","1572710876576","30","1572721200000","1572723000","false","Sports","EP032565670001","false","1572719400000","College Football: The Drive to Atlanta","1572710876577","{ ""HDTV Channels"", ""Local Channels"" } ","Adam Zucker, Rick Neuheisel and Brian Jones preview the big Georgia - Florida SEC East first place showdown, including a look at the Dawgs' lineman Andrew Thomas, whose musical talents have helped shape his burgeoning football career.","{ ""Football"" } ",,
"cincinnati","21d62c5d-4b41-5fe5-ab92-f0b32702e1f4","245","TNTWHD","1572718076574","150","1572731100000","1572732900","false","Movies","MV007910840000","true","1572722100000","How to Be Single","1572718076575","{ ""Entertainment & Music Channels"", ""HDTV Channels"" } ","After four years of college, young Alice (Dakota Johnson) decides she needs a break from her long-term boyfriend Josh. Excited and ready for new challenges, the eager grad moves to New York to take a job as a paralegal. Helping her navigate her way through an unfamiliar city is Robin (Rebel Wilson), a fun-loving, wild co-worker who enjoys partying and one-night stands. With Robin as her freewheeling guide, Alice can now learn how to get free drinks, meet men and enjoy the single lifestyle.","{ ""Comedy"", ""Romance"" } ",,
"cincinnati","75ffefd0-a0a6-5d7a-8e64-96dea5ef984e","245","TNTHD","1572718076537","165","1572730200000","1572732000","false","Movies","MV004006300000","true","1572720300000","This Is 40","1572718076537","{ ""Entertainment & Music Channels"", ""HDTV Channels"" } ","After many years of marriage, Pete (Paul Rudd) is the sole male in a household that includes his wife, Debbie (Leslie Mann), and two young daughters (Iris Apatow, Maude Apatow). As Pete struggles to keep his record label afloat, he and Debbie navigate a three-week course of sex and romance, career victories and financial hardships, aging parents and maturing children. They'll have to learn to forgive, forget and enjoy the rest of their lives -- before they kill each other.","{ ""Comedy"", ""Romance"" } ",,
"cincinnati","62543da0-a1b0-5cb0-9427-49d9f7f6d167","9","ABC","1572714477006","30","1572723000000","1572724800","true","Sports","SH029966050000","false","1572721200000","College Football Scoreboard","1572714477007","{ ""HDTV Channels"", ""Local Channels"" } ","All the latest news and analysis from the world of college football.","{ ""Football"" } ",,
"cincinnati","fc252d18-012e-5707-a29d-c3c3ac06579a","247","TBSWHD","1572707277003","30","1572717600000","1572719400","false","TV","EP030710920003","true","1572715800000","The Misery Index","1572707277003","{ ""Entertainment & Music Channels"", ""HDTV Channels"" } ","An embarrassing way to ruin a friend's wedding; a dolphin pooping incident; a cell phone rescue scenario in a toilet.","{ ""Comedy"", ""Entertainment"", ""Game Show"", ""Series"" } ","He's Crushing His Man Cave Game",
"cincinnati","64c4066a-e8ed-54cf-b490-0e648eaba19f","605","SPMN","1572718076574","30","1572726600000","1572728400","false","TV","SH027219470000","true","1572724800000","The Honey Brake Experience","1572718076575","{ ""Sports Channels"" } ","An in-depth look at life at Honey Brake, North America's premiere waterfowl destination where waterfowl is a 365 way of life.","{ ""Outdoors"", ""Series"" } ",,
"cincinnati","533f72e7-cde6-5ef0-812b-0d0d1891ca1e","218","GolfHD","1572718076536","210","1572739200000","1572741000","true","Sports","EP028178380143","false","1572726600000","PGA Tour Champions Golf","1572718076537","{ ""HDTV Channels"", ""Sports Channels"" } ","Bernhard Langer, Fred Couples, John Daly, Miguel Angel Jimenez, Colin Montgomerie, Vijay Singh and Darren Clarke are scheduled to compete.","{ ""Golf"" } ","Invesco QQQ Championship, Second Round",
